转发量,品类热度,流量推送,成交额
2646,7,5,260004
816,4,6,100004
1224,6,5,164502
1261,6,6,163001
1720,7,5,260401
1541,7,5,220002
827,5,7,107503
866,5,9,110504
1314,8,5,229461
1431,6,5,165004
2291,6,6,133901
2157,7,6,226005
864,4,5,116054
2620,5,5,190001
1080,7,5,141003
1507,5,5,127005
1375,6,5,140003
980,5,5,135503
1044,5,5,55996
1980,9,5,315003
1932,8,5,394619
1314,7,5,230004
1092,5,5,139001
2119,6,6,158001
1224,5,5,153342
1425,6,5,180502
1392,6,5,166005
1572,6,5,168001
1324,4,6,128001
1232,7,5,194502
1872,8,5,261505
1641,7,7,178003
1802,7,6,200103
1232,6,6,162503
987,6,3,89503
1394,6,5,159001
988,5,5,113001
1716,5,6,135903
1258,7,5,172504
1700,5,5,165505
1188,5,7,157901
1616,8,5,236501
1953,6,5,240004
2775,10,9,325003
1008,5,6,137003
1136,6,6,140005
1788,4,5,161503
968,3,6,37905
1387,5,4,93003
1494,7,5,279505
1212,6,5,186004
1973,8,5,395003
1553,7,5,186504
1319,5,6,123005
2329,7,5,262283
1184,5,3,81005
1393,5,7,135503
1294,4,7,106251
1252,6,5,119001
1601,5,6,140002
1600,5,6,207501
1302,6,7,158002
1327,5,6,150752
987,6,8,118004
1886,7,5,199902
1103,6,6,110502
858,5,7,116504
1493,6,5,208902
1034,5,6,109002
788,4,5,100001
886,5,8,91301
2267,6,5,200005
3608,10,9,475001
2601,5,6,189002
918,6,5,99504
1118,5,7,119901
1242,7,6,175505
1509,6,5,183205
1375,6,6,141004
1216,5,5,118502
1670,7,5,240004
1040,3,4,93503
1297,5,6,153002
1250,7,5,171905
1989,8,5,255005
1604,7,5,220003
1701,5,5,171005
864,3,3,58503
1214,3,4,105004
2450,8,5,340001
1344,7,5,206301
1682,7,6,174003
1337,7,5,185004
2482,8,5,281215
1559,5,6,153505
1088,8,5,170004
1526,5,6,144505
835,5,5,83003
2468,8,5,354004
1929,7,5,226001
1961,6,5,215001
1710,7,5,208504
910,5,7,116003
1518,8,5,274004
1144,5,5,124004
1512,6,5,168502
1134,5,6,126005
2447,6,7,169005
952,6,6,121005
1122,5,7,147001
1836,7,5,216840
1656,5,7,135002
1118,6,6,171003
2196,7,7,271903
1131,5,6,66504
1405,7,5,171751
2452,8,5,267005
2127,7,5,238001
1092,5,5,141004
1694,8,5,245354
1365,5,6,125001
1352,5,4,130003
2046,7,5,284001
